STATEFP,ANSICODE,POINTID,FULLNAME,MTFCC,longitude,latitude
16,NA,110680906449,State Hospital South,K1231,-112.335066,43.185259
16,00390731,1102653699212,Snake River Ranger Sta,C3081,-111.414673,43.459916
16,00395965,1102653699303,South Falls Ctr,C3081,-112.022192,43.481302
16,00399195,1102653700141,Swan Valley Ranger Sta,C3081,-111.329948,43.447972
16,00382976,1102653683820,Hawley Gulch Ranger Sta,C3081,-111.574401,43.654636000000004
16,00398090,1102653708691,Sand Holw,C3081,-116.749211,43.807652
16,00400257,1102653665578,Bannock Pumping Sta,C3081,-112.64443,42.840468
16,00401104,1102653695846,Park View Shopping Ctr,C3081,-112.852493,42.784078
16,00391575,1102653699849,Sublett Forest Service Sta,C3081,-112.9711,42.356026
16,00394977,1102653664597,Arling Sta,C3081,-116.079018,44.647393
16,00377399,1102653667345,Bernard Creek Guard Sta,C3081,-114.737036,44.976303
16,00394383,1102653667675,Big Creek Work Ctr,C3081,-115.325112,45.128798
16,00398997,1102653669002,Boiling Springs Work Ctr,C3081,-115.856232,44.363784
16,00394971,1102653670810,Cabarton Sta,C3081,-116.039297,44.424337
16,00394092,1102653672734,Cascade Ranger Sta,C3081,-116.038742,44.51156
16,00380051,1102653675884,Crawford Forest Work Ctr,C3081,-115.979573,44.528783
16,00381367,1102653678870,Elk Creek Ranger Sta,C3081,-115.406496,44.419624
16,00383179,1102653684359,High Valley Ranger Sta,C3081,-116.153464,44.212113
16,00383991,1102653687605,Johnson Creek Forest Service Sta,C3081,-115.480668,44.923517
16,00384308,1102653688428,Krassel Ranger Sta,C3081,-115.731787,44.971011
16,00394397,1102653688439,Krassel Work Ctr,C3081,-115.729009,44.971844
16,00384378,1102653688641,Lake Fork Forest Service Sta,C3081,-115.949566,44.921286
16,00394091,1102653688774,Landmark Ranger Sta,C3081,-115.542057,44.657679
16,00386222,1102653690796,Lower Deadwood Guard Sta,C3081,-115.644279,44.295732
16,00386815,1102653693195,Middle Fork Guard Sta,C3081,-115.145935,44.738518
16,00388116,1102653695671,Paddy Flat Forest Service Sta,C3081,-115.949011,44.774896
