sensor_index,date_created,name,location_type,uptime,latitude,longitude
453,1478543047,LRAPA-Oakridge City Hall,0,862,43.74751,-122.45675
896,1484435197,Chemainus Elementary,0,25166,48.930725,-123.73338
928,1484520206,Cobble Hill El,0,9263,48.69273,-123.58976
966,1485899209,Malahat FN,0,7267,48.613064,-123.523895
968,1485899361,Honeymoon Bay CC,0,48822,48.813720000000004,-124.17262
263821,1738712904,MojoDojoCasaHouse,0,6882,45.40823,-122.66519
263885,1738712967,Antelope,0,948,47.027534,-122.89956
264149,1738954455,PRLD Craigmont Library,0,9089,46.2402,-116.47736
2069,1499885546,Ballard,0,30311,47.666977,-122.39336
264395,1738964546,Montesano-DNR,0,1072,46.982895,-123.6011
2338,1501524283,Thetis Island,0,18813,48.987545,-123.67928
2402,1501532850,Enatai,0,46853,47.588516,-122.19914
264565,1739130368,Morton-DNR,0,1283,46.557877,-122.26944
264575,1739130373,Hoodsport West - DNR,0,2904,47.423683,-123.21326
264582,1739130402,Boat Ramp,0,9259,47.483414,-123.24558
264611,1739130641,Capitol Hill,0,423,47.622494,-122.32386
264621,1739132536,Hoodsport East - DNR,0,9257,47.406124,-123.14609
264626,1739132538,Mt St Helens - DNR,0,2260,46.300922,-122.268135
2572,1501958782,Rosewold,0,57960,43.994812,-122.99628
264735,1739202778,Ames Lake - Outside,0,35629,47.64909,-121.96416
2651,1502216095,Waterville,0,21759,47.644928,-120.06789
2741,1502230694,College Park,0,19217,45.310272,-122.96692
2851,1502742395,Helena 2-North,0,50210,46.621834,-112.04207
265167,1739392695,RV Pavillion,0,11327,45.425983,-122.64675
3035,1503509496,Brier,0,3289,47.78032,-122.27999
3044,1503523178,Marcus,0,26133,46.273685,-119.2931
265243,1739406489,CiarMaenach,0,565,47.637115,-122.63515
3106,1504041724,YACS School,0,38769,46.618782,-120.57788
3140,1504045532,Westfir Road,0,136,43.756706,-122.50391
3192,1504898361,Redmond Home,0,52123,44.25185,-121.20351
3206,1504898857,Underwood Heights,0,63429,45.729237,-121.5696
3219,1504899022,Queen Anne,0,13598,47.630653,-122.35243
3255,1504902770,LRAPA - Cottage Grove South,0,1638,43.77952,-123.060036
3257,1504902812,"Newhalem, WA ",0,562,48.671757,-121.25049
