id,time_stamp,humidity,temperature,pm2.5_atm,pm2.5_cf_1,name,date_up,uptime
7494,2025-04-01T00:00:00Z,30,63,3.7,3.7,MesaVista,2018-02-10T03:05:11Z,42661
7494,2024-04-01T00:00:00Z,30,63,2.2,2.2,MesaVista,2018-02-10T03:05:11Z,42661
7494,2021-03-01T00:00:00Z,30,56,4.7,4.8,MesaVista,2018-02-10T03:05:11Z,42661
7494,2022-11-01T00:00:00Z,41,45,18.8,20.2,MesaVista,2018-02-10T03:05:11Z,42661
7494,2022-07-01T00:00:00Z,20,91,7.3,7.5,MesaVista,2018-02-10T03:05:11Z,42661
7494,2021-08-01T00:00:00Z,27,83,27.4,33.8,MesaVista,2018-02-10T03:05:11Z,42661
7494,2024-07-01T00:00:00Z,21,91,30,38.3,MesaVista,2018-02-10T03:05:11Z,42661
7494,2023-09-01T00:00:00Z,30,76,23.1,31.3,MesaVista,2018-02-10T03:05:11Z,42661
7494,2022-05-01T00:00:00Z,35,66,1.8,1.8,MesaVista,2018-02-10T03:05:11Z,42661
7494,2024-09-01T00:00:00Z,29,79,20.1,25.6,MesaVista,2018-02-10T03:05:11Z,42661
7494,2022-03-01T00:00:00Z,32,57,3.9,4,MesaVista,2018-02-10T03:05:11Z,42661
7494,2025-06-01T00:00:00Z,24,82,3.7,3.7,MesaVista,2018-02-10T03:05:11Z,42661
7494,2024-10-01T00:00:00Z,33,66,10.3,10.4,MesaVista,2018-02-10T03:05:11Z,42661
7494,2021-12-01T00:00:00Z,46,45,11.5,12.2,MesaVista,2018-02-10T03:05:11Z,42661
7494,2023-08-01T00:00:00Z,30,86,12.6,13.4,MesaVista,2018-02-10T03:05:11Z,42661
7494,2021-11-01T00:00:00Z,43,54,13.8,14.6,MesaVista,2018-02-10T03:05:11Z,42661
7494,2021-09-01T00:00:00Z,27,75,17.5,21.9,MesaVista,2018-02-10T03:05:11Z,42661
7494,2024-05-01T00:00:00Z,30,68,2.6,2.7,MesaVista,2018-02-10T03:05:11Z,42661
7494,2023-06-01T00:00:00Z,32,78,6.2,6.3,MesaVista,2018-02-10T03:05:11Z,42661
7494,2024-08-01T00:00:00Z,23,86,32.6,42.7,MesaVista,2018-02-10T03:05:11Z,42661
7494,2023-03-01T00:00:00Z,38,49,2.8,2.8,MesaVista,2018-02-10T03:05:11Z,42661
7494,2020-09-01T00:00:00Z,25,79,24.7,32,MesaVista,2018-02-10T03:05:11Z,42661
7494,2023-07-01T00:00:00Z,20,91,10.2,10.6,MesaVista,2018-02-10T03:05:11Z,42661
7494,2022-10-01T00:00:00Z,33,65,12.9,13.4,MesaVista,2018-02-10T03:05:11Z,42661
7494,2020-10-01T00:00:00Z,29,66,12.2,14,MesaVista,2018-02-10T03:05:11Z,42661
7494,2023-10-01T00:00:00Z,39,64,9.3,9.7,MesaVista,2018-02-10T03:05:11Z,42661
7494,2022-06-01T00:00:00Z,30,78,2.5,2.6,MesaVista,2018-02-10T03:05:11Z,42661
7494,2024-06-01T00:00:00Z,24,83,3,3.1,MesaVista,2018-02-10T03:05:11Z,42661
7494,2024-11-01T00:00:00Z,39,52,9.6,10,MesaVista,2018-02-10T03:05:11Z,42661
7494,2020-08-01T00:00:00Z,24,87,18.7,22.8,MesaVista,2018-02-10T03:05:11Z,42661
7494,2023-12-01T00:00:00Z,48,46,14.2,14.5,MesaVista,2018-02-10T03:05:11Z,42661
7494,2020-05-01T00:00:00Z,31,71,3,3.1,MesaVista,2018-02-10T03:05:11Z,42661
7494,2024-12-01T00:00:00Z,48,46,18.1,19.3,MesaVista,2018-02-10T03:05:11Z,42661
7494,2021-02-01T00:00:00Z,38,47,5.6,5.7,MesaVista,2018-02-10T03:05:11Z,42661
7494,2021-01-01T00:00:00Z,41,48,7.6,7.7,MesaVista,2018-02-10T03:05:11Z,42661
7494,2023-02-01T00:00:00Z,35,45,9,9.6,MesaVista,2018-02-10T03:05:11Z,42661
7494,2025-01-01T00:00:00Z,39,43,11.6,12,MesaVista,2018-02-10T03:05:11Z,42661
7494,2025-05-01T00:00:00Z,28,73,3,3,MesaVista,2018-02-10T03:05:11Z,42661
7494,2023-11-01T00:00:00Z,42,52,15.9,16.6,MesaVista,2018-02-10T03:05:11Z,42661
7494,2023-04-01T00:00:00Z,31,59,2.6,2.7,MesaVista,2018-02-10T03:05:11Z,42661
7494,2023-05-01T00:00:00Z,31,75,6.3,6.7,MesaVista,2018-02-10T03:05:11Z,42661
7494,2020-02-01T00:00:00Z,36,47,5.3,5.3,MesaVista,2018-02-10T03:05:11Z,42661
7494,2025-02-01T00:00:00Z,43,47,7.3,7.6,MesaVista,2018-02-10T03:05:11Z,42661
7494,2020-01-01T00:00:00Z,45,47,5.3,5.3,MesaVista,2018-02-10T03:05:11Z,42661
7494,2022-02-01T00:00:00Z,37,43,12.9,13.1,MesaVista,2018-02-10T03:05:11Z,42661
7494,2022-12-01T00:00:00Z,45,41,17,18.9,MesaVista,2018-02-10T03:05:11Z,42661
7494,2025-07-01T00:00:00Z,23,88,5.9,6,MesaVista,2018-02-10T03:05:11Z,42661
7494,2021-06-01T00:00:00Z,23,86,4.2,4.3,MesaVista,2018-02-10T03:05:11Z,42661
7494,2022-04-01T00:00:00Z,31,57,2.1,2.1,MesaVista,2018-02-10T03:05:11Z,42661
7494,2021-10-01T00:00:00Z,35,64,5.4,5.5,MesaVista,2018-02-10T03:05:11Z,42661
7494,2024-01-01T00:00:00Z,47,44,17.6,20.4,MesaVista,2018-02-10T03:05:11Z,42661
7494,2020-03-01T00:00:00Z,34,56,4.2,4.3,MesaVista,2018-02-10T03:05:11Z,42661
7494,2020-12-01T00:00:00Z,40,44,14.5,15.1,MesaVista,2018-02-10T03:05:11Z,42661
7494,2021-07-01T00:00:00Z,21,92,24.5,28.8,MesaVista,2018-02-10T03:05:11Z,42661
7494,2025-03-01T00:00:00Z,33,58,2.6,2.7,MesaVista,2018-02-10T03:05:11Z,42661
7494,2020-06-01T00:00:00Z,34,76,3,3,MesaVista,2018-02-10T03:05:11Z,42661
7494,2021-04-01T00:00:00Z,24,63,3.6,3.7,MesaVista,2018-02-10T03:05:11Z,42661
7494,2020-11-01T00:00:00Z,37,52,9.4,9.6,MesaVista,2018-02-10T03:05:11Z,42661
7494,2024-03-01T00:00:00Z,37,54,3.8,4,MesaVista,2018-02-10T03:05:11Z,42661
7494,2023-01-01T00:00:00Z,43,44,8.3,8.5,MesaVista,2018-02-10T03:05:11Z,42661
7494,2022-09-01T00:00:00Z,26,80,25.4,31.5,MesaVista,2018-02-10T03:05:11Z,42661
7494,2021-05-01T00:00:00Z,28,70,3.5,3.6,MesaVista,2018-02-10T03:05:11Z,42661
7494,2022-08-01T00:00:00Z,22,91,11.8,12,MesaVista,2018-02-10T03:05:11Z,42661
