id,time_stamp,humidity,temperature,pm2.5_atm,pm2.5_cf_1,name,date_up,uptime
9810,2020-11-01T00:00:00Z,45,46,23.1,27.4,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2021-05-01T00:00:00Z,32,63,3.9,4.3,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2020-05-01T00:00:00Z,38,62,4.5,4.6,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2023-12-01T00:00:00Z,52,46,23.6,28.3,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2020-09-01T00:00:00Z,30,72,56.1,79.9,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2020-03-01T00:00:00Z,43,47,12.6,13.7,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2021-07-01T00:00:00Z,22,89,31.9,40.5,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2024-11-01T00:00:00Z,49,45,13,14.2,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2020-06-01T00:00:00Z,35,69,2.7,2.7,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2024-04-01T00:00:00Z,38,54,6.2,6.3,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2021-11-01T00:00:00Z,38,55,25.8,30.8,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2024-12-01T00:00:00Z,51,44,20.1,22.8,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2022-02-01T00:00:00Z,25,55,17.2,19.3,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2023-01-01T00:00:00Z,46,41,15.6,17.8,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2021-12-01T00:00:00Z,37,48,17.3,20.4,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2024-09-01T00:00:00Z,33,71,11,12.1,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2021-01-01T00:00:00Z,50,43,18.3,21.4,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2024-08-01T00:00:00Z,32,76,27.7,36.8,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2025-06-01T00:00:00Z,29,74,5.1,5.1,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2022-11-01T00:00:00Z,46,42,23.9,27.8,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2020-07-01T00:00:00Z,29,78,12.9,15.4,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2021-04-01T00:00:00Z,29,56,9.2,9.7,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2022-07-01T00:00:00Z,28,81,10.6,12.1,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2025-05-01T00:00:00Z,33,68,5,5,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2021-03-01T00:00:00Z,36,47,11,12.4,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2021-02-01T00:00:00Z,44,43,16.2,19.3,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2022-10-01T00:00:00Z,34,62,17.5,19.1,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2022-06-01T00:00:00Z,33,69,3,3,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2021-06-01T00:00:00Z,27,78,5.5,5.7,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2020-08-01T00:00:00Z,31,78,20.5,26.5,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2025-04-01T00:00:00Z,38,52,10.5,12.3,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2024-02-01T00:00:00Z,48,46,9.9,10.6,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2022-08-01T00:00:00Z,28,81,15.4,17.2,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2021-09-01T00:00:00Z,25,75,51.2,73.3,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2023-02-01T00:00:00Z,40,42,16.1,18.6,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2024-01-01T00:00:00Z,52,46,10.1,11.1,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2023-11-01T00:00:00Z,44,48,27.2,32.6,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2022-05-01T00:00:00Z,37,58,2.6,2.6,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2021-08-01T00:00:00Z,24,82,119.8,161.7,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2025-07-01T00:00:00Z,30,81,11.2,13.2,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2023-10-01T00:00:00Z,40,58,14.2,15.5,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2023-07-01T00:00:00Z,27,82,11.4,11.9,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2025-03-01T00:00:00Z,42,50,6.7,7.1,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2022-09-01T00:00:00Z,32,72,17.5,19.9,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2023-05-01T00:00:00Z,37,66,6.8,6.9,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2022-04-01T00:00:00Z,38,50,6.7,7,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2020-12-01T00:00:00Z,48,42,28,33.3,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2020-01-01T00:00:00Z,53,44,15.2,17.6,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2020-02-01T00:00:00Z,39,45,19,21.8,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2023-06-01T00:00:00Z,33,71,5.7,5.8,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2022-01-01T00:00:00Z,29,55,23.8,28.7,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2024-10-01T00:00:00Z,38,60,12.7,13.8,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2023-04-01T00:00:00Z,36,53,4.7,4.8,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2023-08-01T00:00:00Z,33,78,34.2,44.8,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2024-05-01T00:00:00Z,34,61,3.9,4,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2021-10-01T00:00:00Z,34,63,8.6,9.2,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2025-01-01T00:00:00Z,42,43,23.5,27,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2022-03-01T00:00:00Z,24,62,10.1,10.8,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2024-07-01T00:00:00Z,26,83,24.7,31.6,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2020-10-01T00:00:00Z,35,60,21.9,27.1,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2020-04-01T00:00:00Z,37,56,8,8.5,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2023-03-01T00:00:00Z,45,42,9.3,9.9,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2024-06-01T00:00:00Z,30,73,3.1,3.2,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2024-03-01T00:00:00Z,42,48,5.7,6,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2025-02-01T00:00:00Z,46,42,17.5,19.1,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2023-09-01T00:00:00Z,37,67,14.6,17.3,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
9810,2022-12-01T00:00:00Z,51,39,23.9,28,PSU STAR LAB KFP,2018-04-11T23:19:19Z,22520
35383,2023-06-01T00:00:00Z,37,73,4.7,4.7,Hargadine,2019-07-18T20:12:09Z,9047
35383,2021-06-01T00:00:00Z,35,78,5.1,5.2,Hargadine,2019-07-18T20:12:09Z,9047
35383,2022-12-01T00:00:00Z,58,45,12.5,13.2,Hargadine,2019-07-18T20:12:09Z,9047
35383,2023-08-01T00:00:00Z,33,81,68.2,97.4,Hargadine,2019-07-18T20:12:09Z,9047
35383,2025-03-01T00:00:00Z,49,54,2.6,2.7,Hargadine,2019-07-18T20:12:09Z,9047
35383,2024-07-01T00:00:00Z,31,85,27.9,35.6,Hargadine,2019-07-18T20:12:09Z,9047
35383,2023-02-01T00:00:00Z,48,46,5.2,5.2,Hargadine,2019-07-18T20:12:09Z,9047
35383,2025-07-01T00:00:00Z,29,86,3.8,4.1,Hargadine,2019-07-18T20:12:09Z,9047
35383,2021-12-01T00:00:00Z,61,45,13.1,13.8,Hargadine,2019-07-18T20:12:09Z,9047
35383,2022-07-01T00:00:00Z,34,82,10.6,12.6,Hargadine,2019-07-18T20:12:09Z,9047
35383,2021-11-01T00:00:00Z,58,52,11.9,12,Hargadine,2019-07-18T20:12:09Z,9047
35383,2021-05-01T00:00:00Z,36,66,2.7,2.7,Hargadine,2019-07-18T20:12:09Z,9047
35383,2021-10-01T00:00:00Z,51,59,4.2,4.2,Hargadine,2019-07-18T20:12:09Z,9047
35383,2024-10-01T00:00:00Z,45,62,5.2,5.2,Hargadine,2019-07-18T20:12:09Z,9047
35383,2024-09-01T00:00:00Z,36,75,10.3,11.2,Hargadine,2019-07-18T20:12:09Z,9047
35383,2023-01-01T00:00:00Z,51,47,5.3,5.4,Hargadine,2019-07-18T20:12:09Z,9047
35383,2021-08-01T00:00:00Z,31,80,80.6,117.9,Hargadine,2019-07-18T20:12:09Z,9047
35383,2025-05-01T00:00:00Z,37,69,2.1,2.1,Hargadine,2019-07-18T20:12:09Z,9047
35383,2023-12-01T00:00:00Z,57,51,14.6,15.9,Hargadine,2019-07-18T20:12:09Z,9047
