GEOID,NAME,totalpop,white,black,asian,hispanic,hhincome,ls,p
160010001011,Block Group 1; Census Tract 1.01; Ada County; Idaho,260,211,0,0,0,72454,0.1763275955554103,1.1775683826795875e-4
160010001012,Block Group 2; Census Tract 1.01; Ada County; Idaho,1178,1042,61,0,10,17851,0.18948269304606533,6.211533696314601e-4
160010001021,Block Group 1; Census Tract 1.02; Ada County; Idaho,1257,925,13,69,70,38408,0.0763738477466012,6.010621555193914e-4
160010001022,Block Group 2; Census Tract 1.02; Ada County; Idaho,649,386,0,8,255,23200,0.1976610504594433,3.6219994329812907e-4
160010001023,Block Group 3; Census Tract 1.02; Ada County; Idaho,390,218,0,0,77,83068,0.06770401175572449,1.6463633786278594e-4
160010001024,Block Group 4; Census Tract 1.02; Ada County; Idaho,871,701,0,42,112,40322,0.03562436737682993,4.771663351616338e-4
160010002011,Block Group 1; Census Tract 2.01; Ada County; Idaho,2258,1833,11,63,123,123281,0.04014904846436004,0.0011329212402083236
160010002012,Block Group 2; Census Tract 2.01; Ada County; Idaho,1155,1045,51,0,28,95089,0.13621295989890692,6.27292351721259e-4
160010002021,Block Group 1; Census Tract 2.02; Ada County; Idaho,2177,1784,8,138,92,141458,0.10182379569705025,0.0011284565259611972
160010002022,Block Group 2; Census Tract 2.02; Ada County; Idaho,1530,1468,0,62,0,112266,0.17401631475133597,8.538765997629237e-4
160010002023,Block Group 3; Census Tract 2.02; Ada County; Idaho,2670,2506,18,65,0,144926,0.15440775732142994,0.0014448931482262807
160010003021,Block Group 1; Census Tract 3.02; Ada County; Idaho,1119,995,0,27,16,35755,0.11140817385204024,5.792966735646502e-4
160010003022,Block Group 2; Census Tract 3.02; Ada County; Idaho,777,703,0,10,6,109306,0.12722248403625444,4.0126619296048505e-4
160010003023,Block Group 3; Census Tract 3.02; Ada County; Idaho,1621,1538,12,17,20,71625,0.10789805396037068,8.856876887736992e-4
160010003031,Block Group 1; Census Tract 3.03; Ada County; Idaho,891,758,0,42,46,47232,0.07243061650981264,4.7214353163361664e-4
160010003032,Block Group 2; Census Tract 3.03; Ada County; Idaho,943,859,0,41,6,70078,0.15114436742166115,5.056288884870646e-4
160010003051,Block Group 1; Census Tract 3.05; Ada County; Idaho,1740,1363,73,35,208,89833,0.04484491764834087,9.370319026156529e-4
160010003052,Block Group 2; Census Tract 3.05; Ada County; Idaho,1264,1180,0,0,84,83669,0.050470942849562515,7.05424851045971e-4
160010003061,Block Group 1; Census Tract 3.06; Ada County; Idaho,1438,1331,0,7,96,101417,0.0396931337815725,8.003000287974069e-4
160010003062,Block Group 2; Census Tract 3.06; Ada County; Idaho,1453,1323,0,8,41,119904,0.08372245975051955,7.656984933821773e-4
160010003063,Block Group 3; Census Tract 3.06; Ada County; Idaho,1231,1103,0,20,65,46227,0.046740082535415284,6.630100656982702e-4
160010004011,Block Group 1; Census Tract 4.01; Ada County; Idaho,1195,1169,0,0,8,79271,0.14774993068651762,6.568710836084713e-4
160010004012,Block Group 2; Census Tract 4.01; Ada County; Idaho,1098,986,0,0,108,62411,0.03012208795981087,6.10549673294535e-4
160010004021,Block Group 1; Census Tract 4.02; Ada County; Idaho,1065,937,0,0,28,83274,0.09677028141187603,5.385561560596218e-4
160010004022,Block Group 2; Census Tract 4.02; Ada County; Idaho,1641,1149,0,0,468,72674,0.09084834430202947,9.024303672004232e-4
160010004023,Block Group 3; Census Tract 4.02; Ada County; Idaho,879,715,0,0,115,44119,0.021093179907348273,4.6321410313936384e-4
160010005011,Block Group 1; Census Tract 5.01; Ada County; Idaho,792,712,0,0,22,68179,0.0951331858104232,4.0963753217384706e-4
160010005012,Block Group 2; Census Tract 5.01; Ada County; Idaho,586,488,21,12,65,103098,0.03368177689973327,3.2704031860200867e-4
160010005013,Block Group 3; Census Tract 5.01; Ada County; Idaho,1625,1341,0,50,47,72232,0.08443103217919459,8.025323859209701e-4
160010005021,Block Group 1; Census Tract 5.02; Ada County; Idaho,1926,1575,0,18,286,80824,0.008330401431575483,0.0010486497587938127
160010005022,Block Group 2; Census Tract 5.02; Ada County; Idaho,1607,1121,0,89,245,174917,0.057334182642540726,8.120199036961137e-4
160010006011,Block Group 1; Census Tract 6.01; Ada County; Idaho,970,883,11,0,67,147571,0.04040881185660048,5.363237989360586e-4
